ex_factory_vials,shipment_date,valid_order,wholesaler_name_2,wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount,gross_sales,net_sales
9,2022-05-23,1,McKesson Specialty Care DC         ,MSH,2022-05-27,2022-05,2022-Q2,2022,1,6785,0.15,61065,51905.25
25,2022-05-26,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-05-27,2022-05,2022-Q2,2022,1,6785,0.15,169625,144181.25
5,2022-05-26,1,DOTHAN D AND S                     ,CENCORA,2022-05-27,2022-05,2022-Q2,2022,1,6785,0.15,33925,28836.25
4,2022-06-01,1,McKesson Specialty Care DC         ,MSH,2022-06-03,2022-06,2022-Q2,2022,1,6785,0.15,27140,23069
8,2022-06-01,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-03,2022-06,2022-Q2,2022,1,6785,0.15,54280,46138
50,2022-06-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-06-03,2022-06,2022-Q2,2022,1,6785,0.15,339250,288362.5
5,2022-06-01,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-03,2022-06,2022-Q2,2022,1,6649.3,0.15,33246.5,28259.525
13,2022-06-02,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-06-03,2022-06,2022-Q2,2022,1,6785,0.15,88205,74974.25
3,2022-06-02,1,DOTHAN D AND S                     ,CENCORA,2022-06-03,2022-06,2022-Q2,2022,1,6785,0.15,20355,17301.75
12,2022-06-06,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-10,2022-06,2022-Q2,2022,1,6649.3,0.15,79791.6,67822.86
-12,2022-06-06,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-10,2022-06,2022-Q2,2022,1,6649.3,0.15,-79791.6,-67822.86
6,2022-06-06,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-10,2022-06,2022-Q2,2022,1,6785,0.15,40710,34603.5
2,2022-06-06,1,McKesson Specialty Care DC         ,MSH,2022-06-10,2022-06,2022-Q2,2022,1,6785,0.15,13570,11534.5
20,2022-06-09,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-06-10,2022-06,2022-Q2,2022,1,6785,0.15,135700,115345
6,2022-06-13,1,PANTHERRX RARE                     ,PANTHERRX,2022-06-17,2022-06,2022-Q2,2022,1,6649.3,0.15,39895.8,33911.43
10,2022-06-13,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-17,2022-06,2022-Q2,2022,1,6649.3,0.15,66493,56519.05
3,2022-06-13,1,DOTHAN D AND S                     ,CENCORA,2022-06-17,2022-06,2022-Q2,2022,1,6785,0.15,20355,17301.75
4,2022-06-14,1,McKesson Specialty Care DC         ,MSH,2022-06-17,2022-06,2022-Q2,2022,1,6785,0.15,27140,23069
9,2022-06-14,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-17,2022-06,2022-Q2,2022,1,6785,0.15,61065,51905.25
15,2022-06-16,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-06-17,2022-06,2022-Q2,2022,1,6785,0.15,101775,86508.75
5,2022-06-16,1,DOTHAN D AND S                     ,CENCORA,2022-06-17,2022-06,2022-Q2,2022,1,6785,0.15,33925,28836.25
1,2022-06-20,1,PANTHERRX RARE                     ,PANTHERRX,2022-06-24,2022-06,2022-Q2,2022,1,6649.3,0.15,6649.3,5651.905
4,2022-06-20,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-24,2022-06,2022-Q2,2022,1,6649.3,0.15,26597.2,22607.62
4,2022-06-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-24,2022-06,2022-Q2,2022,1,6785,0.15,27140,23069
14,2022-06-21,1,McKesson Specialty Care DC         ,MSH,2022-06-24,2022-06,2022-Q2,2022,1,6785,0.15,94990,80741.5
50,2022-06-23,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-06-24,2022-06,2022-Q2,2022,1,6785,0.15,339250,288362.5
37,2022-06-27,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-01,2022-06,2022-Q2,2022,1,6785,0.15,251045,213388.25
2,2022-06-29,1,McKesson Specialty Care DC         ,MSH,2022-07-01,2022-06,2022-Q2,2022,1,6785,0.15,13570,11534.5
2,2022-06-29,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-07-01,2022-06,2022-Q2,2022,1,6785,0.15,13570,11534.5
-1,2022-06-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-01,2022-06,2022-Q2,2022,1,6649.3,0.15,-6649.3,-5651.905
-1,2022-06-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-01,2022-06,2022-Q2,2022,1,6649.3,0.15,-6649.3,-5651.905
-4,2022-06-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-01,2022-06,2022-Q2,2022,1,6649.3,0.15,-26597.2,-22607.62
5,2022-07-01,1,DOTHAN D AND S                     ,CENCORA,2022-07-01,2022-07,2022-Q3,2022,1,6785,0.15,33925,28836.25
7,2022-07-05,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-08,2022-07,2022-Q3,2022,1,6649.3,0.15,46545.1,39563.335
17,2022-07-05,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-08,2022-07,2022-Q3,2022,1,6785,0.15,115345,98043.25
20,2022-07-07,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-07-08,2022-07,2022-Q3,2022,1,6785,0.15,135700,115345
4,2022-07-07,1,DOTHAN D AND S                     ,CENCORA,2022-07-08,2022-07,2022-Q3,2022,1,6785,0.15,27140,23069
3,2022-07-11,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-07-15,2022-07,2022-Q3,2022,1,6785,0.15,20355,17301.75
