qty_sold,shipment_date,valid_order,wholesaler_name,short_wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount
9,2022-05-23,1,McKesson Specialty Care DC         ,MSH,2022-05-27,2022-05,2022-Q2,2022,1,6785.0,0.15
25,2022-05-26,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-05-27,2022-05,2022-Q2,2022,1,6785.0,0.15
5,2022-05-26,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-05-27,2022-05,2022-Q2,2022,1,6785.0,0.15
4,2022-06-01,1,McKesson Specialty Care DC         ,MSH,2022-06-03,2022-06,2022-Q2,2022,1,6785.0,0.15
8,2022-06-01,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-03,2022-06,2022-Q2,2022,1,6785.0,0.15
50,2022-06-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-06-03,2022-06,2022-Q2,2022,1,6785.0,0.15
5,2022-06-01,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-03,2022-06,2022-Q2,2022,1,6649.3,0.15
13,2022-06-02,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-06-03,2022-06,2022-Q2,2022,1,6785.0,0.15
3,2022-06-02,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-06-03,2022-06,2022-Q2,2022,1,6785.0,0.15
12,2022-06-06,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-10,2022-06,2022-Q2,2022,1,6649.3,0.15
-12,2022-06-06,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-10,2022-06,2022-Q2,2022,1,6649.3,0.15
6,2022-06-06,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-10,2022-06,2022-Q2,2022,1,6785.0,0.15
2,2022-06-06,1,McKesson Specialty Care DC         ,MSH,2022-06-10,2022-06,2022-Q2,2022,1,6785.0,0.15
20,2022-06-09,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-06-10,2022-06,2022-Q2,2022,1,6785.0,0.15
6,2022-06-13,1,PANTHERRX RARE                     ,PANTHERRX,2022-06-17,2022-06,2022-Q2,2022,1,6649.3,0.15
10,2022-06-13,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-17,2022-06,2022-Q2,2022,1,6649.3,0.15
3,2022-06-13,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-06-17,2022-06,2022-Q2,2022,1,6785.0,0.15
4,2022-06-14,1,McKesson Specialty Care DC         ,MSH,2022-06-17,2022-06,2022-Q2,2022,1,6785.0,0.15
9,2022-06-14,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-17,2022-06,2022-Q2,2022,1,6785.0,0.15
15,2022-06-16,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-06-17,2022-06,2022-Q2,2022,1,6785.0,0.15
5,2022-06-16,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-06-17,2022-06,2022-Q2,2022,1,6785.0,0.15
1,2022-06-20,1,PANTHERRX RARE                     ,PANTHERRX,2022-06-24,2022-06,2022-Q2,2022,1,6649.3,0.15
4,2022-06-20,0,PANTHERRX RARE                     ,PANTHERRX,2022-06-24,2022-06,2022-Q2,2022,1,6649.3,0.15
4,2022-06-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-06-24,2022-06,2022-Q2,2022,1,6785.0,0.15
14,2022-06-21,1,McKesson Specialty Care DC         ,MSH,2022-06-24,2022-06,2022-Q2,2022,1,6785.0,0.15
50,2022-06-23,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-06-24,2022-06,2022-Q2,2022,1,6785.0,0.15
37,2022-06-27,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-01,2022-06,2022-Q2,2022,1,6785.0,0.15
2,2022-06-29,1,McKesson Specialty Care DC         ,MSH,2022-07-01,2022-06,2022-Q2,2022,1,6785.0,0.15
2,2022-06-29,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-07-01,2022-06,2022-Q2,2022,1,6785.0,0.15
-1,2022-06-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-01,2022-06,2022-Q2,2022,1,6649.3,0.15
-1,2022-06-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-01,2022-06,2022-Q2,2022,1,6649.3,0.15
-4,2022-06-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-01,2022-06,2022-Q2,2022,1,6649.3,0.15
5,2022-07-01,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-07-01,2022-07,2022-Q3,2022,1,6785.0,0.15
7,2022-07-05,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-08,2022-07,2022-Q3,2022,1,6649.3,0.15
17,2022-07-05,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-08,2022-07,2022-Q3,2022,1,6785.0,0.15
20,2022-07-07,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-07-08,2022-07,2022-Q3,2022,1,6785.0,0.15
4,2022-07-07,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-07-08,2022-07,2022-Q3,2022,1,6785.0,0.15
3,2022-07-11,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-07-15,2022-07,2022-Q3,2022,1,6785.0,0.15
8,2022-07-11,1,McKesson Specialty Care DC         ,MSH,2022-07-15,2022-07,2022-Q3,2022,1,6785.0,0.15
7,2022-07-11,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-15,2022-07,2022-Q3,2022,1,6785.0,0.15
20,2022-07-14,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-07-15,2022-07,2022-Q3,2022,1,6785.0,0.15
6,2022-07-18,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-07-22,2022-07,2022-Q3,2022,1,6785.0,0.15
27,2022-07-18,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-22,2022-07,2022-Q3,2022,1,6785.0,0.15
7,2022-07-18,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-07-22,2022-07,2022-Q3,2022,1,6785.0,0.15
5,2022-07-18,1,McKesson Specialty Care DC         ,MSH,2022-07-22,2022-07,2022-Q3,2022,1,6785.0,0.15
4,2022-07-19,1,PANTHERRX RARE                     ,PANTHERRX,2022-07-22,2022-07,2022-Q3,2022,1,6649.3,0.15
15,2022-07-21,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-22,2022-07,2022-Q3,2022,1,6649.3,0.15
5,2022-07-21,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-07-22,2022-07,2022-Q3,2022,1,6785.0,0.15
12,2022-07-21,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-07-22,2022-07,2022-Q3,2022,1,6785.0,0.15
24,2022-07-25,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-29,2022-07,2022-Q3,2022,1,6785.0,0.15
9,2022-07-27,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-29,2022-07,2022-Q3,2022,1,6649.3,0.15
15,2022-07-28,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-07-29,2022-07,2022-Q3,2022,1,6785.0,0.15
25,2022-08-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-05,2022-08,2022-Q3,2022,1,6785.0,0.15
55,2022-08-02,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-08-05,2022-08,2022-Q3,2022,1,6785.0,0.15
19,2022-08-04,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-08-05,2022-08,2022-Q3,2022,1,6785.0,0.15
10,2022-08-04,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-08-05,2022-08,2022-Q3,2022,1,6785.0,0.15
13,2022-08-04,1,McKesson Specialty Care DC         ,MSH,2022-08-05,2022-08,2022-Q3,2022,1,6785.0,0.15
4,2022-08-08,1,McKesson Specialty Care DC         ,MSH,2022-08-12,2022-08,2022-Q3,2022,1,6785.0,0.15
16,2022-08-08,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-12,2022-08,2022-Q3,2022,1,6785.0,0.15
8,2022-08-11,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-08-12,2022-08,2022-Q3,2022,1,6785.0,0.15
10,2022-08-11,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-08-12,2022-08,2022-Q3,2022,1,6785.0,0.15
16,2022-08-15,1,McKesson Specialty Care DC         ,MSH,2022-08-19,2022-08,2022-Q3,2022,1,6785.0,0.15
5,2022-08-15,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-08-19,2022-08,2022-Q3,2022,1,6785.0,0.15
17,2022-08-15,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-19,2022-08,2022-Q3,2022,1,6785.0,0.15
15,2022-08-16,0,PANTHERRX RARE                     ,PANTHERRX,2022-08-19,2022-08,2022-Q3,2022,1,6649.3,0.15
18,2022-08-18,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-08-19,2022-08,2022-Q3,2022,1,6785.0,0.15
4,2022-08-18,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-08-19,2022-08,2022-Q3,2022,1,6785.0,0.15
3,2022-08-22,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-08-26,2022-08,2022-Q3,2022,1,6785.0,0.15
2,2022-08-22,1,McKesson Specialty Care DC         ,MSH,2022-08-26,2022-08,2022-Q3,2022,1,6785.0,0.15
25,2022-08-22,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-26,2022-08,2022-Q3,2022,1,6785.0,0.15
16,2022-08-25,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-08-26,2022-08,2022-Q3,2022,1,6785.0,0.15
27,2022-08-25,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-08-26,2022-08,2022-Q3,2022,1,6785.0,0.15
6,2022-08-29,1,McKesson Specialty Care DC         ,MSH,2022-09-02,2022-08,2022-Q3,2022,1,6785.0,0.15
11,2022-08-29,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-02,2022-08,2022-Q3,2022,1,6785.0,0.15
11,2022-08-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-02,2022-08,2022-Q3,2022,1,6649.3,0.15
18,2022-09-01,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-09-02,2022-09,2022-Q3,2022,1,6785.0,0.15
19,2022-09-01,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-09-02,2022-09,2022-Q3,2022,1,6785.0,0.15
11,2022-09-01,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-02,2022-09,2022-Q3,2022,1,6649.3,0.15
6,2022-09-06,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-09,2022-09,2022-Q3,2022,1,6649.3,0.15
16,2022-09-06,1,McKesson Specialty Care DC         ,MSH,2022-09-09,2022-09,2022-Q3,2022,1,6785.0,0.15
31,2022-09-06,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-09,2022-09,2022-Q3,2022,1,6785.0,0.15
8,2022-09-08,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-09-09,2022-09,2022-Q3,2022,1,6785.0,0.15
2,2022-09-12,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-09-16,2022-09,2022-Q3,2022,1,6785.0,0.15
10,2022-09-13,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-16,2022-09,2022-Q3,2022,1,6649.3,0.15
10,2022-09-13,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-16,2022-09,2022-Q3,2022,1,6785.0,0.15
20,2022-09-15,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-09-16,2022-09,2022-Q3,2022,1,6785.0,0.15
20,2022-09-15,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-09-16,2022-09,2022-Q3,2022,1,6785.0,0.15
16,2022-09-19,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-23,2022-09,2022-Q3,2022,1,6785.0,0.15
9,2022-09-19,1,McKesson Specialty Care DC         ,MSH,2022-09-23,2022-09,2022-Q3,2022,1,6785.0,0.15
50,2022-09-22,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-09-23,2022-09,2022-Q3,2022,1,6785.0,0.15
14,2022-09-22,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-09-23,2022-09,2022-Q3,2022,1,6785.0,0.15
3,2022-09-26,1,McKesson Specialty Care DC         ,MSH,2022-09-30,2022-09,2022-Q3,2022,1,6785.0,0.15
-11,2022-09-27,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-30,2022-09,2022-Q3,2022,1,6649.3,0.15
6,2022-09-29,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-09-30,2022-09,2022-Q3,2022,1,6785.0,0.15
21,2022-10-03,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-07,2022-10,2022-Q4,2022,1,6785.0,0.15
39,2022-10-03,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-07,2022-10,2022-Q4,2022,1,6785.0,0.15
16,2022-10-06,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-10-07,2022-10,2022-Q4,2022,1,6785.0,0.15
13,2022-10-10,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-10-14,2022-10,2022-Q4,2022,1,6785.0,0.15
50,2022-10-10,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-14,2022-10,2022-Q4,2022,1,6785.0,0.15
14,2022-10-13,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-10-14,2022-10,2022-Q4,2022,1,6785.0,0.15
13,2022-10-13,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-10-14,2022-10,2022-Q4,2022,1,6785.0,0.15
7,2022-10-13,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-10-14,2022-10,2022-Q4,2022,1,6785.0,0.15
12,2022-10-13,1,McKesson Specialty Care DC         ,MSH,2022-10-14,2022-10,2022-Q4,2022,1,6785.0,0.15
6,2022-10-17,0,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-10-21,2022-10,2022-Q4,2022,1,6785.0,0.15
32,2022-10-17,0,ASD HEALTHCARE-BROOKS              ,ASD,2022-10-21,2022-10,2022-Q4,2022,1,6785.0,0.15
5,2022-10-17,0,PANTHERRX RARE                     ,PANTHERRX,2022-10-21,2022-10,2022-Q4,2022,1,6649.3,0.15
6,2022-10-17,0,PANTHERRX RARE                     ,PANTHERRX,2022-10-21,2022-10,2022-Q4,2022,1,6649.3,0.15
7,2022-10-17,0,PANTHERRX RARE                     ,PANTHERRX,2022-10-21,2022-10,2022-Q4,2022,1,6649.3,0.15
60,2022-10-17,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-21,2022-10,2022-Q4,2022,1,6785.0,0.15
10,2022-10-20,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-10-21,2022-10,2022-Q4,2022,1,6785.0,0.15
6,2022-10-20,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-10-21,2022-10,2022-Q4,2022,1,6785.0,0.15
6,2022-10-24,0,SONEXUS,SONEXUS,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
4,2022-10-27,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
9,2022-10-27,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
-21,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
21,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
-39,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
39,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
-50,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
50,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
-7,2022-10-28,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
7,2022-10-28,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
-12,2022-10-28,1,McKesson Specialty Care DC         ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
12,2022-10-28,1,McKesson Specialty Care DC         ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
-60,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
60,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785.0,0.15
15,2022-11-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-11-04,2022-11,2022-Q4,2022,1,6785.0,0.157
13,2022-11-03,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-11-04,2022-11,2022-Q4,2022,1,6785.0,0.157
21,2022-11-03,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-11-04,2022-11,2022-Q4,2022,1,6785.0,0.157
29,2022-11-07,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-11-11,2022-11,2022-Q4,2022,1,6785.0,0.157
-7,2022-11-08,0,PANTHERRX RARE                     ,PANTHERRX,2022-11-11,2022-11,2022-Q4,2022,1,6649.3,0.157
-6,2022-11-08,0,PANTHERRX RARE                     ,PANTHERRX,2022-11-11,2022-11,2022-Q4,2022,1,6649.3,0.157
6,2022-11-10,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-11-11,2022-11,2022-Q4,2022,1,6785.0,0.157
14,2022-11-10,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-11-11,2022-11,2022-Q4,2022,1,6785.0,0.157
33,2022-11-14,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-11-18,2022-11,2022-Q4,2022,1,6785.0,0.157
-24,2022-11-17,1,McKesson Specialty Care DC         ,MSH,2022-11-18,2022-11,2022-Q4,2022,1,6785.0,0.157
13,2022-11-17,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-11-18,2022-11,2022-Q4,2022,1,6785.0,0.157
11,2022-11-17,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-11-18,2022-11,2022-Q4,2022,1,6785.0,0.157
